##,name,portal,"NCBI Taxon","assembly length","#of genes","is public","is published","is superseded","superseded by","publication(s)","pubmed id(s)"
23,"Nemania sp. FL0916 v1.0",NeFL0916_1,1912656,45465408,11921,Y,N,N,,,
24,"Nemania serpens CBS 679.86 v1.0",NsCB679_1,109381,48887256,12184,Y,N,N,,,
25,"Kretzschmaria deusta CBS 826.72 v1.0",KdCBS826_1,110526,49727278,12520,Y,N,N,,,
26,"Nemania serpens AZ0576 v1.0",NsAZ0576_1,109381,49475055,11778,Y,N,N,,,
27,"Xylariomycetidae sp. FL0641 v1.0",XyFL0641_1,222545,38113609,11789,Y,N,N,,,
28,"Hypoxylon sp. FL1857 v1.0",HyFL1857_1,1896109,43394199,11993,Y,N,N,,,
29,"Thermoascus aurantiacus ATCC26904 v2.0",Theau2,1133049,28490209,8761,Y,N,N,,,
30,"Xylaria sp. FL1777 v1.0",XyFL1777_1,1715255,60307143,11673,Y,N,N,,,
31,"Nemania sp. NC0429 v1.0",Nemani1,1912656,47847351,11703,Y,N,N,,,
32,"Daldinia sp. FL1419 v1.0",DaFL1419_1,1769485,42564396,10476,Y,N,N,,,
33,"Xylaria cubensis CBS 116.85 v1.0",Xylcube1,114814,44845599,12717,Y,N,N,,,
34,"Xylaria acuta CBS 122032 v1.0",Xylacu1,114808,47204184,12486,Y,N,N,,,
35,"Xylaria telfairii CBS 121673 v1.0",Xyltel121673_1,477509,46917078,12758,Y,N,N,,,
36,"Xylaria palmicola CBS 124036 v1.0",Xylpal124036_1,665665,43873532,11559,Y,N,N,,,
37,"Xylaria curta CBS 114988 v1.0",Xylcur114988_1,42375,43923592,13038,Y,N,N,,,
38,"Xylaria cf. castorea CBS 124033 v1.0",Xylcas124033_1,114812,45886771,12064,Y,N,N,,,
39,"Epicoccum nigrum cont 1108929 v1.0",Epini1,105696,33605341,12218,Y,N,N,,,
40,"Plectosphaerella cucumerina MPI-SDFR-AT-0117 v1.0",Plecucu1,40658,35930556,12460,Y,N,N,,,
41,"Chaetomium globosum MPI-SDFR-AT-0079 v1.0",Chagl1,38033,34154134,11569,Y,N,N,,,
42,"Kurtia argillacea OMC1749 v1.0",Kurarg1,1882863,37148487,13652,Y,N,N,,,
43,"Russula earlei BPL698 v1.0",Rusear1,71964,70012961,12153,Y,N,N,,,
44,"Hypoxylon rubiginosum ER1909 v1.0",HyprubER1909_1,110542,44157955,13953,Y,N,N,,,
45,"Hypoxylon rubiginosum CBS 119005 v1.0",Hyprub1,110542,42157771,12728,Y,N,N,,,
46,"Hypoxylon crocopeplum CBS 119004 v1.0",Hypcro1,326657,40730267,12441,Y,N,N,,,
47,"Hypoxylon cercidicola CBS 119009 v1.0",Hypcer1,326656,36615672,11824,Y,N,N,,,
48,"Hypoxylon fuscum CBS 119018 v1.0",Hypfus1,109372,39045003,12268,Y,N,N,,,
49,"Hypoxylon trugodes CBS 135444 v1.0",Hyptru1,326681,39350407,11996,Y,N,N,,,
50,"Xylaria bambusicola CBS 139988 v1.0",Xylbam139988_1,326684,45705225,12121,Y,N,N,,,
51,"Xylaria intraflava YMJ 725 v1.0",Xylint1,492091,35932021,9861,Y,N,N,,,
52,"Xylaria longipes CBS 148.73 v1.0",Xyllon1,114818,50750822,12544,Y,N,N,,,
53,"Xylaria scruposa CBS 123580 v1.0",Xylscr1,743287,46642166,13082,Y,N,N,,,
54,"Xylaria arbuscula CBS 124340 v1.0",Xylarb124340_1,114810,51163159,12946,Y,N,N,,,
55,"Rhizopus stolonifer NRRL 66455 v1.0",Rhisto1,4846,40441112,14342,Y,N,N,,,
56,"Mitosporidium daphniae UGP3",Mitdap1,1485682,5636959,3330,Y,Y,N,,"Haag KL et al.,2014","25313038"
57,"Lentinula raphanica JLM1587 v1.0",LraJLM1587_1,153919,38596630,14701,Y,N,N,,,
58,"Lentinula raphanica TFB9207 v1.0",LraTFB9207_1,153919,38628906,14798,Y,N,N,,,
59,"Mortierella elongata NVP64 v1.0",MoeNVP64_1,310910,51153770,13739,Y,N,N,,,
60,"Acremonium sp. TS7 v1.0",AcreTS7_1,5045,27300990,9964,Y,N,N,,,
61,"Typhula sp. TRa3160C v1.0",TyphTRa3160C_1,1907243,29484294,11022,Y,N,N,,,
62,"Ellisomyces anomalus CBS 243.57 v1.0",Ellano1,101134,36553112,12178,Y,N,N,,,
63,"Rhizina undulata CBS 300.56 v1.0",Rhiund1,44645,85632120,12464,Y,N,N,,,
64,"Scheffersomyces coipomoensis NRRL Y-17651T v1.0",Schcoi1,1788519,14757374,6180,Y,N,N,,,
65,"Calycina marina TRa3180A v1.0",Calmar1,1763456,34209217,9558,Y,N,N,,,
66,"Spathaspora arborariae UFMG-HMD-19.1 v1.0",Spaarb1,979894,12703376,5824,Y,N,N,,,
67,"Scheffersomyces stipitis NRRL Y-7124 v1.0",Schsti1,4924,15223473,5994,Y,N,N,,,
68,"Amylocarpus encephaloides TRa018bII v1.0",Amyenc1,45428,46286790,11869,Y,N,N,,,
69,"Scheffersomyces queiroziae UFMG-CLM-5.1 v1.0",Schque1,880181,14306452,5964,Y,N,N,,,
70,"Xylariomycetidae sp. FL2044 v1.0",XylFL2044,222545,47513992,14033,Y,N,N,,,
71,"Biscogniauxia sp. genotype 304 FL1348 v1.0",Biscog1,1896107,41733781,10869,Y,N,N,,,
72,"Kretzschmaria deusta IL1129 v1.0",Kredeu1,110526,56079074,13003,Y,N,N,,,
73,"Astrocystis sublimbata CBS 130006 v1.0",Astsub1,743114,42778081,12484,Y,N,N,,,
74,"Phlebopus sp. FC_14 v1.0",Pis20_1,150793,37508415,9249,Y,N,N,,,
75,"Aureobasidium pullulans NBB 7.2.1 v1.0",AurpulNBB1,5580,28411403,10925,Y,N,N,,,
76,"Teratosphaeriaceae  sp. NC1134 v1.0",TerNC1134_1,1907221,31057076,12652,Y,N,N,,,
77,"Russula emetica P?ilba v1.0",Ruseme1,152958,55121418,13215,Y,N,N,,,
78,"Suillus fuscotomentosus FC203 v1.0",Suifus1,1912939,79655913,18512,Y,N,N,,,
79,"Amanita rubescens P?ilba v1.0",Amarub1,71933,76593165,16076,Y,N,N,,,
80,"Xylaria sp. FL0043 v1.0",XylFL0043,1715255,44511936,11819,Y,N,N,,,
81,"Xylariaceae sp. FL0016 v1.0",XylFL0016,1799089,39364044,11844,Y,N,N,,,
82,"Hypoxylon monticulosum FL0542 v1.0",Hypmon1,326669,42439719,12167,Y,N,N,,,
83,"Xylariaceae sp. FL0662B v1.0",XylFL0662B,1881983,45910749,11917,Y,N,N,,,
84,"Xylaria sp. FL1042 v1.0",XylFL1042,1715255,56980401,12101,Y,N,N,,,
85,"Xylariaceae sp. FL1019 v1.0",XylFL1019,1799091,51346424,12419,Y,N,N,,,
86,"Xylariaceae sp. FL0594 v1.0",XylFL0594,1799096,35617381,10461,Y,N,N,,,
87,"Daldinia loculata AZ0526 v1.0",DallocAZ0526,103429,36670238,10824,Y,N,N,,,
88,"Xylaria grammica CBS 120713 v1.0",Xylgra1,363999,50758160,13181,Y,N,N,,,
89,"Xylariaceae sp. FL1651 v1.0",XylFL1651,1799077,52587668,12860,Y,N,N,,,
90,"Xylariaceae sp. FL0255 v1.0",XylFL0255,1799090,50386733,13390,Y,N,N,,,
91,"Xylaria venustula FL0490 v1.0",Xylven1,743302,50831203,12428,Y,N,N,,,
92,"Xylaria sp. FL0933 v1.0",XylFL0933,1715255,46492703,11854,Y,N,N,,,
93,"Xylaria arbuscula FL1030 v1.0",XylarbFL1030,114810,52119269,12936,Y,N,N,,,
94,"Hypoxylon sp. NC0597 v1.0",HyNC0597_1,1896109,35918646,11188,Y,N,N,,,
95,"Nemania abortiva FL1152 v1.0",Nemabo1,561989,49607496,14125,Y,N,N,,,
96,"Daldinia vernicosa CBS 139.73 v1.0",Dalver1,114800,35841789,10674,Y,N,N,,,
97,"Hypoxylon sp. FL0890 v1.0",HyFL0890_1,1896109,40410933,11210,Y,N,N,,,
98,"Hypoxylon sp. FL0543 v1.0",HyFL0543_1,1896109,38122018,10873,Y,N,N,,,
99,"Daldinia grandis CBS 114736 v1.0",Dalgra1,103428,37510053,10546,Y,N,N,,,
100,"Trichoderma reesei QM6a",Trire_Chr,431241,34922528,10052,Y,Y,N,,"Li WC et al.,2017~Martinez D et al.,2008","28690679 18454138"
101,"Trichoderma brevicompactum IBT40841",Tribre1,247546,37043576,10406,Y,Y,N,,"Proctor RH et al.,2018","29649280"
102,"Aspergillus bertholletius IBT 29228 v1.0",Aspber1,1226010,37014000,12948,Y,N,N,,,
103,"Aspergillus caelatus CBS 763.97 v1.0",Aspcae1,61420,40016351,13916,Y,N,N,,,
104,"Aspergillus pseudonomius CBS 119388 v1.0",Asppsen1,1506151,37780514,13384,Y,N,N,,,
105,"Aspergillus pseudotamarii CBS 117625 v1.0",Asppset1,132259,38243929,13428,Y,N,N,,,
106,"Aspergillus sergii CBS 130017 v1.0",Aspser1,1034303,38325693,13713,Y,N,N,,,
107,"Aspergillus coremiiformis CBS 553.77 v1.0",Aspcor1,138285,30132285,9078,Y,N,N,,,
108,"Aspergillus albertensis v1.0",Aspalbe1,41046,40140031,12816,Y,N,N,,,
109,"Aspergillus tamarii CBS 117626 v1.0",Asptam1,41984,38511287,13331,Y,N,N,,,
110,"Aspergillus transmontanensis CBS 130015 v1.0",Asptra1,1034304,39338775,14216,Y,N,N,,,
111,"Aspergillus arachidicola v1.0",Aspara19utr,656916,39764385,13895,Y,N,N,,,
112,"Aspergillus pseudocaelatus CBS 117616 v1.0",Asppsec1,1825620,39651556,13895,Y,N,N,,,
113,"Aspergillus avenaceus IBT 18842 v1.0",Aspave1,36643,33765472,11293,Y,N,N,,,
114,"Lentinula raphanica INPA1820 v1.0",LraINPA1820_1,153919,39941092,14931,Y,N,N,,,
115,"Coprinus phaeopunctatus MPI-PUGE-AT-0042 v1.0",Copph3,979884,121013029,27373,Y,N,N,,,
116,"Fusarium sp. FSSC 11 v1.0",FusspF11_1,29916,52615764,17092,Y,N,N,,,
117,"Paraphoma chrysanthemicola MPI-SDFR-AT-0120 v1.0",Parchr1,798071,40162222,15009,Y,N,N,,,
118,"Chaetomium funicola MPI-SDFR-AT-0129 v1.0",Chafu1,1934379,33300809,10414,Y,N,N,,,
119,"Phycomyces blakesleeanus UBC1 v1.0",Phybla1,4837,41020740,11981,Y,N,N,,,
120,"Yarrowia lipolytica CLIB89(W29)",YarliW29_1,755266,20500066,7919,Y,Y,N,,"Magnan C et al.,2016","27603307"
121,"Penicillium atramentosum RS17 v1.0",Penatra1,36652,32736673,10990,Y,N,N,,,
122,"Geranomyces variabilis JEL559 v1.0",Gervar1,109894,23695997,9411,Y,N,N,,,
123,"Lentinula edodes W1-26 v1.0",Lentinedodes1,5353,41825817,12538,Y,Y,N,,"Chen L et al.,2016","27500531"
124,"Mycena latifolia 10383 v1.0",Myclat1,1033247,148767387,37452,Y,N,N,,,
125,"Roridomyces roridus 9284 v1.0",Rorror1,1738132,91122911,26381,Y,N,N,,,
126,"Phaeomoniellales  sp. NC0930 v1.0",ClaNC0930_1,1907227,39284845,13036,Y,N,N,,,
127,"Penicillium sp. NC0857 v1.0",ThyNC0857_1,2185274,25598829,9624,Y,N,N,,,
128,"Pyronema omphalodes DOB1672 v1.0",Pyrom1,337075,61002793,10940,Y,N,N,,,
129,"Tricharina aff. praecox DOB1048 v1.0",Pezsub1,43433,39925980,10389,Y,N,N,,,
130,"Dacryonaema rufum OMC1653 v1.0",Dacruf1,2079950,53924387,15355,Y,N,N,,,
131,"Crustoderma dryinum OMC1663 v1.0",Crudry1,1333630,72793219,17221,Y,N,N,,,
132,"Radulomyces confluens OMC1631 v1.0",Radcon1,264109,43247665,15506,Y,N,N,,,
133,"Porpomyces mucidus OMC1666 v1.0",Pormuc1,156595,35879897,11607,Y,N,N,,,
134,"Zalerion varium MPI-CAGE-AT-0135 v1.0",Zalva1,394676,55609683,17759,Y,N,N,,,
135,"Chaetomium megalocarpum MPI-CAGE-AT-0009 v1.0",Chame1,1036259,33768356,11326,Y,N,N,,,
136,"Schizophyllum commune 227.2 v1.0",Schco2272_1,5334,38027603,13398,Y,N,N,,,
137,"Schizophyllum commune 227.1 v1.0",Schco2271_1,5334,38321158,13547,Y,N,N,,,
138,"Schizophyllum commune 225.1 v1.0",Schco2251_1,5334,38250539,13533,Y,N,N,,,
139,"Schizophyllum commune 207.1 v1.0",Schco2071_1,5334,36640288,13032,Y,N,N,,,
140,"Schizophyllum commune 223.1 v1.0",Schco2231_1,5334,37738624,13373,Y,N,N,,,
141,"Lyophyllum atratum DOB2229 v1.0",Lyoat1,117065,64896558,15046,Y,N,N,,,
142,"Mucor circinelloides MU402 v1.0",Muccir1_3,36080,36817399,11843,Y,N,N,,,
143,"Melampsora medusae f. sp. tremuloidae Mmt05Ida529 v1.0",Melme_tre1,82101,145187885,22850,Y,N,N,,,
144,"Rhamphospora nymphaeae CBS 172.38 v1.0",Rhanym2_1,62645,46121050,7715,Y,N,N,,,
145,"Trichoderma pleuroti TPhu1",Triple1,500994,38137656,10610,Y,Y,N,,"Marik T et al.,2017","28261948"
146,"Trichoderma arundinaceum IBT 40837",Triaru1,490622,36872412,10473,Y,Y,N,,"Proctor RH et al.,2018","29649280"
147,"Cortinarius austrovenetus TL2843-KIS7R v1.0",Coraus1,742016,62325647,14941,Y,N,N,,,
148,"Mytilinidiaceae sp. NC0267 v1.0",Lophiu1,1907213,33900907,12216,Y,N,N,,,
149,"Myriangiaceae sp. NC1570 v1.0",Myrian1,1907217,24765939,9767,Y,N,N,,,
150,"Issatchenkia orientalis ATCC PTA-6658 v2.0",Isori2,4909,23081982,4909,Y,N,N,,,
151,"Amylocorticium subincarnatum OMC1654 v1.0",Amysub1,264088,45931636,10977,Y,N,N,,,
152,"Issatchenkia orientalis ATCC 32196 v2.0",Issori2,4909,21860574,4941,Y,N,N,,,
153,"Flavodon flavus 38 v1.0",Flafl1,559739,31510012,11282,Y,N,N,,,
154,"Geastrum triplex GST.BST v1.0",Geatri1,90948,58565933,14309,Y,N,N,,,
155,"Issatchenkia orientalis SD108 v2.0",Issorie2,4909,21693996,4925,Y,N,N,,,
156,"Jahnula aquatica CBS 123560 v1.0",Jahaq1,435389,46563677,15525,Y,N,N,,,
157,"Fusarium oxysporum f. sp. pisi T415 v1.0",FusoxT415,5507,55839562,18001,Y,N,N,,,
158,"Fusarium sp. FSSC 23 v1.0",FusspF23_1,29916,50406540,16777,Y,N,N,,,
159,"Fusarium sp. FSSC 10 v1.0",FusspF10_1,29916,42448309,12147,Y,N,N,,,
160,"Verticillium dahliae MPI-CAGE-AT-0001 v1.0",Verdah1,27337,40173071,12343,Y,N,N,,,
161,"Dacrymyces fennicus OMC1656 v1.0",Dactor1,2079947,35180536,12386,Y,N,N,,,
162,"Aspergillus carlsbadensis CBS 123894 v1.0",Aspcar1,1810906,39460077,14289,Y,N,N,,,
163,"Aspergillus egyptiacus CBS 656.73 v1.0",Aspegy1,41743,28335649,9890,Y,N,N,,,
164,"Aspergillus nomius IBT 12657 v1.0",Aspnom1,41061,36713177,12897,Y,N,N,,,
165,"Aspergillus novoparasiticus CBS 126849 v1.0",Aspnovo1,986946,40857493,14182,Y,N,N,,,
166,"Aspergillus parasiticus CBS 117618 v1.0",Asppar1,5067,38390758,13752,Y,N,N,,,
167,"Aspergillus minisclerotigenes CBS 117635 v1.0",Aspmin1,656917,37064162,13415,Y,N,N,,,
168,"Mucor mucedo NRRL 3635 v1.0",Mucmuc1,29922,46091836,14052,Y,N,N,,,
169,"Fimicolochytrium jonesii JEL569 v1.0",Fimjon1,1396493,30619153,10067,Y,N,N,,,
170,"Boletus edulis P?ilba v1.0",Boledp1,36056,69185680,18123,Y,N,N,,,
171,"Boletus edulis BED1 v4.0",Boled5,1328754,66525535,18722,Y,N,N,,,
172,"Suillus placidus DOB743 v1.0",Suipla1,48579,55323552,15123,Y,N,N,,,
173,"Armillaria borealis FPL87.14 v1.0",Armbor1,47425,71689880,19984,Y,N,N,,,
174,"Leptoporus mollis OMC1684 v1.0",Lepmol1,83243,53014723,12118,Y,N,N,,,
175,"Russula seminuda PSC4341-TAS1 v1.0",Russem1,5402,42095537,10669,Y,N,N,,,
176,"Tirmania nivea G3 v1.0",Tirniv1,160517,63133441,10591,Y,N,N,,,
177,"Xylaria flabelliformis NC1011 v1.0",Xylcub1,2512241,41613484,12391,Y,N,N,,,
178,"Lentinula raphanica TFB8682 v1.0",Lenra_T_1,153919,38978753,14961,Y,N,N,,,
179,"Trichoderma harzianum M10 v1.0",TriharM10_1,5544,40484612,12842,Y,N,N,,,
180,"Trichoderma harzianum T22 v1.0",TriharT22_1,5544,40378754,12762,Y,N,N,,,
181,"Conocybe apala SZMC-NL-8967 v1.0",Conapa1,229365,64080092,17284,Y,N,N,,,
182,"Postia stiptica OMC1664 v1.0",Possti1,544579,62273033,14207,Y,N,N,,,
183,"Candida boidinii NRRL Y-2332",Canbo1,5477,19278657,6230,Y,Y,N,,"Krassowski T et al.,2018","29760453"
184,"Taphrina populi-salicis CBS419.54 v1.0",Tappo1,203085,13214580,6155,Y,N,N,,,
185,"Elytroderma deformans CBS183.68 v1.0",Elyde1,128019,50483512,12886,Y,N,N,,,
186,"Ambrosiozyma philentoma NRRL Y-7523",Ambph1,43984,17710905,6975,Y,Y,N,,"Krassowski T et al.,2018","29760453"
187,"Peterozyma xylosa NRRL Y-12939",Petxy1,1337056,12957929,5982,Y,Y,N,,"Krassowski T et al.,2018","29760453"
188,"Citeromyces matritensis NRRL Y-2407",Citma1,36909,20321446,7868,Y,Y,N,,"Krassowski T et al.,2018","29760453"
189,"Saccharomycopsis capsularis NRRL Y-17639",Sacca1,36036,17823225,6736,Y,Y,N,,"Krassowski T et al.,2018","29760453"
190,"Saturnispora dispora NRRL Y-1447",Satdi1,29835,10120266,4881,Y,Y,N,,"Krassowski T et al.,2018","29760453"
191,"Lachnellula subtilissima CBS 196.66 v1.0",Lacsu1,602034,33858279,11875,Y,N,N,,,
192,"Nakazawaea wickerhamii NRRL Y-2563",Nakwi1,1538186,10857285,5490,Y,Y,N,,"Krassowski T et al.,2018","29760453"
193,"Trichoderma atroviride B10 v1.0",Triatr1,452589,36332534,11909,Y,N,N,,,
194,"Trichoderma atroviride F7 v1.0",Triatro1,452589,36520685,12001,Y,N,N,,,
195,"Trichoderma atroviride P1 v1.0",Triatrov1,452589,37129917,12360,Y,N,N,,,
196,"Valsariales sp. FL0756 v1.0",DelFL0756_1,1907232,36394561,11844,Y,N,N,,,
197,"Chaetosphaeriaceae sp. FL1790 v1.0",CodFL1790_1,2185273,49247973,15615,Y,N,N,,,
198,"Sistotrema raduloides OMC1660 v1.0",Sisrad1,283657,53934495,12046,Y,N,N,,,
199,"Amylomyces rouxii NRRL 5866 v1.0",Amyrou1,29923,45703929,14619,Y,N,N,,,
200,"Thelephora terrestris UH-Tt-Lm1  v1.0",Theter1,56493,40733037,13338,Y,N,N,,,
201,"Pisolithus croceorrhizus ssp. 2 72 v1.0",Pisthe227_1,2060934,76507182,15058,Y,N,N,,,
202,"Cortinarius aff. campbellae TAS5-PSC4363 v1.0",Corcam1,2511838,76968950,17407,Y,N,N,,,
203,"Jimgerdemannia flammicorona GMNB39",Jimfl_GMNB39_1,994334,239574967,13653,Y,Y,N,,"Chang Y et al.,2019","30485448"
204,"Jimgerdemannia lactiflua OSC166217",Jimlac1,324621,179670541,12651,Y,Y,N,,"Chang Y et al.,2019","30485448"
205,"Endogone sp FLAS 59071",Endsp1,2012134,95552741,9569,Y,Y,N,,"Chang Y et al.,2019","30485448"
206,"Jimgerdemannia flammicorona AD002",Jimfl_AD_1,994334,231316372,13838,Y,Y,N,,"Chang Y et al.,2019","30485448"
207,"Pichia kudriavzevii CBS573",Pickud1,4909,10812555,5140,Y,Y,N,,"Douglass AP et al.,2018","30024981"
208,"Pyronema domesticum DOB7353 v1.0",Pyrdom1,47205,58392066,11812,Y,N,N,,,
209,"Melanogaster broomeianus MBLB.BST v1.0",Melbro1,85974,49614189,14167,Y,N,N,,,
210,"Ceriporia viridans OMC1683 v1.0",Cervir1,40428,62630014,14481,Y,N,N,,,
211,"Xylariales sp. AK1849 v1.0",Plecto1,1907220,39995810,12024,Y,N,N,,,
212,"Hysterangium stoloniferum HS.BST v1.0",Hyssto1,150792,111842964,15017,Y,N,N,,,
213,"Microdiplodia sp. AK1800 v1.0",Microd1,1907216,38428995,11559,Y,N,N,,,
214,"Pestalotiopsis sp. NC0098 v1.0",Pestal1,1907218,46406735,15180,Y,N,N,,,
215,"Trichoderma longibrachiatum MK1 v1.0",Trilon1,983965,32342648,10046,Y,N,N,,,
216,"Trichoderma guizhouense NJAU 4742",Trigui1,1491466,38329450,11255,Y,Y,N,,"Druzhinina IS et al.,2018","29630596"
217,"Trichoderma parareesei CBS 125925",Tripar1,858221,32070663,9062,Y,Y,N,,"Yang D et al.,2015","26272569"
218,"Sporobolomyces gracilis NRRL Y-5504 v1.0",Spogra1_1,5435,19998122,8038,Y,N,N,,,
219,"Penicillium solitum IBT 30036 v1.0",Pensoli1,60172,31749581,11843,Y,N,N,,,
220,"Flagelloscypha sp. PMI_526 v1.0",FlaPMI526_1,1485228,72728845,19929,Y,N,N,,,
221,"Lentinula edodes B17 v1.1",Lened_B_1_1,5353,46106741,14002,Y,Y,N,,"Park SG et al.,2017~Shim D et al.,2016","29845094 26924240"
222,"Heterodoassansia hygrophilae CBS 346.65 v1.0",Hethyg1,2031139,25986125,7158,Y,N,N,,,
223,"Suillus variegatus UH-Sva-Z1 v1.0",Suivar1,48592,64862609,17072,Y,N,N,,,
224,"Echinodontium tinctorium Aho-80 v1.0",Echtin1,40440,40414111,12508,Y,N,N,,,
225,"Aphanobasidium pseudotsugae OMC1630 v1.0",Aphpse1,693291,32195292,11120,Y,N,N,,,
226,"Phlebia radiata Fr. (isolate 79, FBCC0043)",Phlrad1,5308,40407200,14629,Y,Y,N,,"Kuuskeri J et al.,2016","27602055"
227,"Meripilus sumstinei FP 105329 v1.0",Mersum1,1940299,32757303,10348,Y,N,N,,,
228,"Hericium coralloides FP-101451 v1.0",Hercor1,100756,35332148,12369,Y,N,N,,,
229,"Benjaminiella poitrasii RSA 903 v1.0",Benpoi1,64631,32504669,11659,Y,N,N,,,
230,"Papiliotrema laurentii 5307AH v1.0",Papla1,5418,19510785,7537,Y,N,N,,,
231,"Dendrothele microspora FP 101998 v1.0",Denmi1,1124678,45655992,17356,Y,N,N,,,
232,"Nectriopsis sporangicola NRRL 22127 v1.0",Necsp1,1155948,25479315,8044,Y,N,N,,,
233,"Penicillium nordicum DAOMC 185683",Pennord1,229535,30844022,12959,Y,Y,N,,"Wingfield BD et al.,2015","26734552"
234,"Galzinia incrustans CBS 104901 v1.0",Galinc1,202708,51415400,15855,Y,N,N,,,
235,"Phoma multirostrata 7a v1.0",Phomu1,73003,33277225,12099,Y,N,N,,,
236,"Armillaria tabescens CCBAS 213 v1.0",Armtab1,47431,74875987,19032,Y,N,N,,,
237,"Boreostereum radiatum TFC1981-005 v1.0",Borrad1,103380,38735177,12283,Y,N,N,,,
238,"Trichoderma atrobrunneum ITEM 908",Triatrob1,1491457,39149368,8637,Y,Y,N,,"Fanelli F et al.,2018","30200883"
239,"Melampsora americana R15-033-03 v1.0",Melame1,2182807,112350849,15984,Y,N,N,,,
240,"Lentinula novae-zelandiae TMI-1172 v1.0",Lennov1,42442,35621183,12286,Y,N,N,,,
241,"Lentinula afn. lateritia sp 3 TMI1502 v1.0",Lenafn_TMI1502_1,40482,38884662,12462,Y,N,N,,,
242,"Melampsora medusae f. sp. Deltoidae Mmd05TRE539 v1.0",Melmed1,82101,139726837,20491,Y,N,N,,,
243,"Lentinula raphanica TFB9929 ss4 v1.0",Lenrap1_155,153919,40086852,14352,Y,N,N,,,
244,"Suillus bovinus UH-Sbo-P2 v1.0",Suibov1,48563,47496138,13537,Y,N,N,,,
245,"Suillus paluster FC165 v1.0",Suipal1,48578,61993750,16585,Y,N,N,,,
246,"Suillus lakei FC43 v1.0",Suilak1,48574,79746074,19384,Y,N,N,,,
247,"Suillus occidentalis FC124 v1.0",Suiocc1,756607,57963537,16030,Y,N,N,,,
248,"Rhodocollybia butyracea CCBAS 279 v1.0",Rhobu1,206335,78814333,19884,Y,N,N,,,
249,"Eurotiomycetes sp. JF 03-3F Goopy v1.0",EurotioJF033F_1,2486360,28289675,11344,Y,N,N,,,
250,"Eurotiomycetes sp. JF 03-4F Slimy v1.0",EurotioJF034F_1,2486359,28227525,11358,Y,N,N,,,
251,"Pisolithus albus SI12 v1.0",Pisalb1,178870,87748750,17029,Y,N,N,,,
252,"Pisolithus croceorrhizus subspA 74A v1.0",Piscro1,2060934,80714400,15799,Y,N,N,,,
253,"Pisolithus marmoratus ssp. 2 16A v1.0",Pismar1,178871,122384764,21754,Y,N,N,,,
254,"Pisolithus thermaeus 11 v1.0",Pisthe1,2136032,81921463,15712,Y,N,N,,,
255,"Tuber melanosporum Mel28 v1.2",Tubme1v2,656061,124945702,10058,Y,Y,N,,"Martin F et al.,2010~Murat C et al.,2018","20348908 30420746"
256,"Yarrowia lipolytica YB419 v1.0",YarliYB419,4952,20144947,6751,Y,Y,N,,"Walker C et al.,2018","30533660"
