##,name,portal,"NCBI Taxon","assembly length","#of genes","is public","is published","is superseded","superseded by","publication(s)","pubmed id(s)"
27,"Bretziella fagacearum C519 v1.0",Brefa1,1836592,27072536,7554,Y,N,N,,,
28,"Sidera vulgaris OMC 1730 v1.0",Sidvul1,796161,67247330,13089,Y,N,N,,,
29,"Ustanciosporium gigantosporum RK316 v1.0",Ustgig1,1134041,20195449,6705,Y,N,N,,,
30,"Pyrenochaeta inflorescentiae CORFU0001 v1.0",Pyrinf1,531899,41526282,14563,Y,N,N,,,
31,"Ceratobasidium sp. 379 v1.0",Cersp379_1,2789313,83869204,17852,Y,N,N,,,
32,"Ceratobasidium sp. 423 v1.0",Cersp423_1,2600206,131591190,25503,Y,N,N,,,
33,"Metschnikowia reukaufii MR1 v1.1",Metreu1,27327,16349392,5989,Y,N,N,,,
34,"Ceratobasidium sp. 394 v1.0",Cersp394_1,2600203,84469429,17873,Y,N,N,,,
35,"Anomoporia kamtschatica OMC1758 v1.0",Anokam1,264123,63215704,14978,Y,N,N,,,
36,"Clonostachys sp. CORFU0009 v1.0",Ilyro1,2789332,58385546,18327,Y,N,N,,,
37,"Morchella steppicola PhC 289 v1.0",Morste1,743781,81030815,11718,Y,N,N,,,
38,"Lentinula lateritia RV95-379 v1.0",LlaRV95_379_1,40482,39474067,13702,Y,N,N,,,
39,"Lentinula boryana TFB10292 v1.0",LboTFB10292_1,40481,33330104,12154,Y,N,N,,,
40,"Hebeloma brunneifolium PMI1Jessy v2.0",Hebvel2,91683,65279695,20438,Y,N,N,,,
41,"Penicillium sp. DTU1 v1.0",Aspcris1,5081,34884957,11734,Y,N,N,,,
42,"Issatchenkia orientalis IO21 v1.0",IsorIO21_1,4919,10783679,4957,Y,N,N,,,
43,"Naganishia vishniacii ANT03-052 v1.1",Nagvi1,89929,19679091,6711,Y,Y,N,,"Nizovoy P et al.,2020","33232451"
44,"Xanthophyllomyces dendrorhous CBS 6938 v1.0",XandeCB38_1,264483,19531997,6491,Y,N,N,,,
45,"Tuber indicum v1.0",Tubin1_1,55307,110494569,11872,Y,N,N,,,
46,"Xanthophyllomyces dendrorhous UBV-AX4 v1.0",XandeAX4_1,264483,19509598,6424,Y,N,N,,,
47,"Tuber brumale v1.0",Tubbr1_1,60458,171435277,12382,Y,N,N,,,
48,"Phyllosticta capitalensis CBS 111638 v2.0",Phcapit2,121624,32080394,10957,Y,N,N,,,
49,"Phyllosticta citricarpa CPC 16586 v1.0",Pcit16586,55181,30755040,10231,Y,N,N,,,
50,"Phyllosticta citricarpa CBS 141352 v1.0",Pcit141352,55181,30431666,10176,Y,N,N,,,
51,"Phyllosticta citriasiana CBS 120426 v2.0",Pcitr2,595635,33767235,10291,Y,N,N,,,
52,"Phyllosticta citricarpa CBS 122482 v1.0",Pcit122482,55181,30007393,10085,Y,N,N,,,
53,"Phyllosticta capitalensis CBS 173.77 v2.0",Phycapi2,121624,32875859,10989,Y,N,N,,,
54,"Phyllosticta citricarpa CBS 122670 v1.0",Pcit122670,55181,30430812,10297,Y,N,N,,,
55,"Phyllosticta citriasiana CBS 123371 v2.0",Pcitri2,595635,33270502,10048,Y,N,N,,,
56,"Phyllosticta citricarpa CBS 111.20 v1.0",Pcit11120,55181,29845321,10148,Y,N,N,,,
57,"Phyllosticta citricarpa CBS 102373 v1.0",Pcit120373,55181,30928160,10074,Y,N,N,,,
58,"Phyllosticta citricarpa CBS 131864 v1.0",Pcit131864,55181,30494376,10219,Y,N,N,,,
59,"Fusarium oxysporum f. sp. matthiolae PHW726",FoxPHW726_1,96317,57218285,17996,Y,N,N,,,
60,"Fusarium oxysporum NRRL 26365",Fox26365_1,5507,48455509,16047,Y,N,N,,,
61,"Tricholoma populinum 2016PMI031 v1.0",Tripop1,116051,136995582,19692,Y,N,N,,,
62,"Armillaria novae-zelandiae 2840 v1.0",Armnov1,153914,79334843,18551,Y,N,N,,,
63,"Tulasnella inquilina UAMH 7632 v1.0",Tulinq1,2600232,87139136,15519,Y,N,N,,,
64,"Armillaria fumosa CBS 122221 v1.0",Armfum1,153910,55824865,16095,Y,N,N,,,
65,"Tulasnella sp. 425 v1.0",Tulsp425_1,2600229,76594216,18652,Y,N,N,,,
66,"Daldinia loculatoides CBS 113279 v1.0",Dallocu1,1358886,37410143,10859,Y,N,N,,,
67,"Xylariaceae sp. FL0821 v1.0",XyFL0821_1,2789221,55531870,13527,Y,N,N,,,
68,"Hypoxylon polyporus FL1289 v1.0",Hyppol1,326676,41510572,10036,Y,N,N,,,
69,"Podosordaria jugoyasan CBS 670.77 v1.0",Podjug1,323548,47684922,10690,Y,N,N,,,
70,"Annulohypoxylon sp. FL0455 v1.0",AnFL0455,2789220,38293319,11162,Y,N,N,,,
71,"Piloderma byssinum 4S31 v1.0",Pilbys1,146056,94846070,22629,Y,N,N,,,
72,"Piloderma sphaerosporum 354 v1.0",Pilsph1,515974,71854530,20118,Y,N,N,,,
73,"Leratiomyces ceres mycota028 v1.0",Lerce1,935580,61900583,15547,Y,N,N,,,
74,"Neocallimastix lanati v1.0",Neolan1,2767002,200974851,27677,Y,N,N,,,
75,"Leratiomyces erythrocephalus mycota031 v1.0",Lerer1,1608644,81040031,18110,Y,N,N,,,
76,"Pisolithus microcarpus 441 v2.0",Pismi2,178872,77250852,16766,Y,N,N,,,
77,"Pisolithus tinctorius Marx 270 v2.0",Pisti2,37468,92528219,16924,Y,N,N,,,
78,"Mycena olivaceomarginata CBHHK47/15 v1.0",Mycoli1,230810,501225342,97030,Y,N,N,,,
79,"Mycena pura 9144 v1.0",Mycpur1,153505,96680276,28619,Y,N,N,,,
80,"Morchella kakiicolor PhC 280 v3.0",Morkaki1,2715921,68805960,10759,Y,N,N,,,
81,"Mycena vulgaris CBHHK164 v1.0",Mycvul1,1033282,193677039,45257,Y,N,N,,,
82,"Morchella pulchella Mel-31 v1.0",Morpul1,1579549,57270374,11459,Y,N,N,,,
83,"Morchella semilibera PhC 218 v1.0",Morsem1,62758,55517616,10773,Y,N,N,,,
84,"Mycena maculata CBHHK188m v1.0",Mycmac1,230809,104056733,25815,Y,N,N,,,
85,"Morchella diminutiva Mes-2 v1.0",Mordim1,1174667,53423193,10998,Y,N,N,,,
86,"Phleogena faginea OMC 1709 v1.0",Phlfa1,5224,61418375,13022,Y,N,N,,,
87,"Mycena leptocephala CBHHK5/15 v1.0",Myclep1,230808,377319499,75907,Y,N,N,,,
88,"Laccaria bicolor D101 v1.0",LacbiD101_1,983311,70029479,22538,Y,N,N,,,
89,"Morchella fluvialis PhC 265 v3.0",Morfluv1,1611433,55013795,11113,Y,N,N,,,
90,"Morchella prava Mes-7 v1.0",Morpra1,1174674,52914359,11010,Y,N,N,,,
91,"Mycena polygramma CBHHK137 v1.0",Mycpol1,230801,132253541,39088,Y,N,N,,,
92,"Mycena galericulata CBHHK162m v1.0",Mycgale1,71905,197139282,46875,Y,N,N,,,
93,"Mycena metata CBHHK182m v1.0",Mycmet1,1033252,164113792,41473,Y,N,N,,,
94,"Sistotrema sernanderi OMC 1753 v1.0",Sisser1,154758,41491561,11970,Y,N,N,,,
95,"Sistotrema muscicola OMC 1658 v1.0",Sismus1,154757,43671079,10463,Y,N,N,,,
96,"Intextomyces contiguus OMC1699 v1.0",Intcon1_1,2789333,101756137,22024,Y,N,N,,,
97,"Phellinus viticola PhevitSig-SM15 v1.0",Phevit1,139386,59359618,13824,Y,N,N,,,
98,"Gyromitra infula GyrinfSpk-SM18 v1.0",Gyrinf1,273506,45877806,11121,Y,N,N,,,
99,"Antrodiella citrinella FBCC 969 v1.0",Antcit1,2447956,48628259,13114,Y,N,N,,,
100,"Morchella disparilis PhC 293 v1.0",Mordis1,1810716,50421455,10570,Y,N,N,,,
101,"Suillus punctipes FC325 v1.0",Suipunc1,48581,48707271,14249,Y,N,N,,,
102,"Suillus pungens FC27 v1.0",Suipun1,48582,35632633,12148,Y,N,N,,,
103,"Morchella brunnea Mel-22 v1.0",Morbru1,1174671,56688582,10595,Y,N,N,,,
104,"Clavariopsis aquatica WDA-00-1",Claaq1,253306,34185686,11608,Y,N,N,,,
105,"Venturia effusa",Veneff1,50376,45212240,10820,Y,Y,N,,"Winter DJ et al.,2020","31631770"
106,"Blumeria graminis f. sp. tritici 96224 v3.16",Blugra3_16,62690,140802721,6425,Y,Y,N,,"Müller MC et al.,2019","30388298"
107,"Lentamyces zychae NRRL 2806 v1.0",Lenzyc1,36079,24684069,9378,Y,N,N,,,
108,"Lentamyces parricidus NRRL2409 v1.0",Lenpar1,327271,22379953,9633,Y,N,N,,,
109,"Mortierella capitata AV005 v1.0",Morcap1,64521,35512539,10395,Y,N,N,,,
110,"Absidia caerulea NRRL1315 v1.0",Abscae1,90261,44401174,13367,Y,N,N,,,
111,"Tuber canaliculatum GB_Tcana1 v1.0",Tubcan1,349718,119018764,13111,Y,N,N,,,
112,"Tuber gibbosum GB_Tgibb2 v1.0",Tubgib1,44634,73833505,10490,Y,N,N,,,
113,"Chalciporus piperatus 201810 CP v1.0",Chapip1,145387,46257842,13336,Y,N,N,,,
114,"Lactarius indigo 2018DUKE089 v1.0",Lacind1,222702,90316074,16554,Y,N,N,,,
115,"Mortierella gamsii AM1032 v1.0",Morgam1,64522,57786961,14981,Y,N,N,,,
116,"Aspergillus floridensis DTO 198-A8 v1.0",Aspflor1,1072270,35476287,11629,Y,N,N,,,
117,"Aspergillus tsurutae IBT 34206 v1.0",Asptsu1,2079209,28253752,9736,Y,N,N,,,
118,"Aspergillus cretensis CBS 112802 v1.0",Aspcre1,306091,36176632,11751,Y,N,N,,,
119,"Aspergillus shendaweii IBT 34197 v1.0",Aspshe1,2082511,29202661,9995,Y,N,N,,,
120,"Aspergillus viridinutans CBS 127.56 v1.0",Aspvir1,75553,34441724,10326,Y,N,N,,,
121,"Aspergillus pseudoviridinutans IBT 34175 v1.0",Asppsev1,1517512,32178480,11303,Y,N,N,,,
122,"Aspergillus pulvericola CBS 137327 v1.0",Asppul1,1507526,34902482,11818,Y,N,N,,,
123,"Aspergillus aureofulgens IBT 27100 v1.0",Aspaurful1,41903,32899741,11485,Y,N,N,,,
124,"Aspergillus sesamicola CBS 137324 v1.0",Aspses1,1507530,38310826,12058,Y,N,N,,,
125,"Aspergillus dromiae CBS 140633 v1.0",Aspdro1,2663347,34199539,12109,Y,N,N,,,
126,"Aspergillus puulaauensis IBT 32284 v1.0",Asppuu1,1220207,33961053,12901,Y,N,N,,,
127,"Aspergillus sepultus CBS 257.85 v1.0",Aspsep1,138283,32180178,12290,Y,N,N,,,
128,"Aspergillus thesauricus IBT 34227 v1.0",Aspth1,1194637,37882319,12812,Y,N,N,,,
129,"Aspergillus waksmanii IBT 31900 v1.0",Aspwak1,454252,32299683,10322,Y,N,N,,,
130,"Aspergillus subramanianii CBS 138230 v1.0",Aspsubr1,1565989,37435068,12314,Y,N,N,,,
131,"Aspergillus trinidadensis IBT 32571 v1.0",Asptri1,2608849,39761744,12066,Y,N,N,,,
132,"Aspergillus cumulatus DTO 311-F5 v1.0",Aspcu1,1469429,25394924,9595,Y,N,N,,,
133,"Aspergillus pseudofelis IBT 34107 v1.0",Asppsf1,1517514,31872379,11062,Y,N,N,,,
134,"Aspergillus creber IBT 32277 v1.0",Aspcreb1,1220201,35476325,13531,Y,N,N,,,
135,"Aspergillus nutans CBS 121.56 v1.0",Aspnut1,41752,34348625,11620,Y,N,N,,,
136,"Aspergillus transcarpathicus CBS 423.68 v1.0",Asptran1,1904041,30225050,10456,Y,N,N,,,
137,"Aspergillus giganteus CBS 515.65 v1.0",Aspgig1,5060,28200622,9308,Y,N,N,,,
138,"Aspergillus westerdijkiae CBS 112803 v1.0",Aspwest1,357447,36270834,11946,Y,N,N,,,
139,"Aspergillus oerlinghausenensis CBS 139183 v1.0",Aspoer1,1774284,32346555,9989,Y,N,N,,,
140,"Aspergillus siamensis CBS 137452 v1.0",Aspsia1,1907481,32734164,11213,Y,N,N,,,
141,"Aspergillus costiformis CBS 101749 v1.0",Aspcost1,1032661,26508442,9807,Y,N,N,,,
142,"Aspergillus haitiensis CBS 468.91 v1.0",Asphai1,1810914,35849033,11396,Y,N,N,,,
143,"Aspergillus cleistominutus CBS 200.75 v1.0",Aspcle1,210209,32461706,10644,Y,N,N,,,
144,"Aspergillus tennesseensis IBT 32283 v1.0",Aspten1,1220210,33969804,12788,Y,N,N,,,
145,"Aspergillus miraensis CBS 140625 v1.0",Aspmir1,1810918,34175843,12183,Y,N,N,,,
146,"Aspergillus affinis CBS 129190 v1.0",Aspaff1,1070780,37303864,12409,Y,N,N,,,
147,"Aspergillus templicola CBS 138181 v1.0",Asptem1,1546150,33946247,12132,Y,N,N,,,
148,"Aspergillus neoconicus CBS 233.90 v1.0",Aspneoc1,2663349,23271819,9036,Y,N,N,,,
149,"Aspergillus neowarcupii IBT 29024 v1.0",Aspneow1,2601843,30343332,10853,Y,N,N,,,
150,"Aspergillus cervinus CBS 196.64 v1.0",Aspcer1,41749,34080287,11707,Y,N,N,,,
151,"Aspergillus dentatus CBS 114.63 v1.0",Aspden1,286160,29851794,10270,Y,N,N,,,
152,"Mycotypha indica IMI 211999 v1.0",Mycind1,2053761,33092329,10509,Y,N,N,,,
153,"Fennellomyces linderi CBS 158.54 v1.0",FenlinCB54_1,101136,45939458,12952,Y,N,N,,,
154,"Piromyces sp. UH3-1 v1.0",Piromy1,2761430,87952794,16655,Y,N,N,,,
155,"Cladochytrium replicatum JEL 714 v1.0",Clarep1_1,109936,50665862,16307,Y,N,N,,,
156,"Phycomyces blakesleeanus L51 v1.0",Phybl_L51_1,4837,62087297,12627,Y,N,N,,,
157,"Morchella eohespera Mel-19 v1.0",Moreoh1,1729728,52040391,10683,Y,N,N,,,
158,"Morchella peruviana NRRL 66754 v1.0",Morper1,2382058,63365966,10593,Y,N,N,,,
159,"Morchella punctipes GB769 v1.0",Morpun1,743780,54992451,10647,Y,N,N,,,
160,"Lophodermium piceae NOR1-14_p44 v1.0",Loppic1,128022,60576885,14839,Y,N,N,,,
161,"Morchella angusticeps Mel-15 v1.0",Morang1,60347,56785355,11637,Y,N,N,,,
162,"Morchella hispaniolensis Mel-18 v1.0",Morhis1,2382056,62728251,12099,Y,N,N,,,
163,"Pycnoporellus fulgens PcyfulGre-SM17 v1.0",Pycful1,202718,33544937,10740,Y,N,N,,,
164,"Suillus ochraceoroseus FC498 v1.0",Suioch1,48577,71521688,17772,Y,N,N,,,
165,"Suillus sp. nov. FC429 v1.0",SuiFC429_1,2761429,45274385,14111,Y,N,N,,,
166,"Suillus collinitus S28 v1.0",Suicol1,48567,82814809,16625,Y,N,N,,,
167,"Xenasmatella tulasnelloidea OMC1662 v1.0",Xentul1,2761446,51027523,14853,Y,N,N,,,
168,"Cantharellales sp. MUCL 035158 v1.0",Tylas1,2734616,53368839,12467,Y,N,N,,,
169,"Plectosphaerella cucumerina MPI-SDFR-AT-0117 v2.0",Plecucu2,40658,35753345,12430,Y,N,N,,,
170,"Disciotis venosa NRRL 24433 v1.0",Disven1,44606,45269384,11264,Y,N,N,,,
171,"Verpa conica TJ0815 v1.0",Vercon1,44608,45508997,11342,Y,N,N,,,
172,"Cerinomyces crustulinus OMC1686 v1.0",Cercru1,264081,33673684,12395,Y,N,N,,,
173,"Serpulomyces borealis OMC1750 v1.0",Serbor1,467939,52286917,12934,Y,N,N,,,
174,"Dacrymyces tortus OMC1693 v1.0",Dactort1,2079947,42698988,15305,Y,N,N,,,
175,"Unilacryma unispora MAFF 240146 v1.0",Uniuni1,434259,46151572,16259,Y,N,N,,,
176,"Cortinarius sp. KIS3-TL2766 v1.0",CorKIS3_1,34451,50107275,11569,Y,N,N,,,
177,"Fusarium oxysporum MRL8996 v1.0",FoxMRL8996,5507,50071586,16631,Y,N,N,,,
178,"Schizophyllum commune ZB1 v1.0",SchcoZB1,5334,36907064,13419,Y,N,N,,,
179,"Schizophyllum commune ZB2 v1.0",SchcoZB2,5334,37386993,13467,Y,N,N,,,
180,"Fusarium oxysporum F10-10 v1.0",FoxF1010_1,5507,53047923,16942,Y,N,N,,,
181,"Fusarium oxysporum F2-01 v1.0",FoxF201_1,5507,56590980,17966,Y,N,N,,,
182,"Fusarium oxysporum F2-06 v1.0",FoxF206_1,5507,55311470,17672,Y,N,N,,,
183,"Fusarium oxysporum F10-08 v1.0",FoxF1008_1,5507,55964343,17958,Y,N,N,,,
184,"Fusarium oxysporum F2-07 v1.0",FoxF207_1,5507,53956119,17461,Y,N,N,,,
185,"Fusarium oxysporum F10-03 v1.0",FoxF1003_1,5507,53562701,17114,Y,N,N,,,
186,"Fusarium oxysporum F2-04 v1.0",FoxF204_1,5507,56628223,17876,Y,N,N,,,
187,"Fusarium oxysporum F2-02 v1.0",FoxF202_1,5507,55422652,17736,Y,N,N,,,
188,"Fusarium oxysporum F10-04 v1.0",FoxF1004_1,5507,57881757,18482,Y,N,N,,,
189,"Schizophyllum radiatum CBS 301.32 v1.0",Schrad1,181676,65761430,17979,Y,N,N,,,
190,"Suillus cf. sibiricus RUI384 v1.0",Suisib1,48584,106851732,21955,Y,N,N,,,
191,"Suillus quiescens FC197 v1.0",Suiqui1,627136,44533703,12066,Y,N,N,,,
192,"Suillus elbensis FC64 v1.0",Suielb1,1912937,49992238,16813,Y,N,N,,,
193,"Suillus pseudogranulatus FC45 v1.0",Suipse1,2170351,53289868,13672,Y,N,N,,,
194,"Golovinomyces orontii MGH1 v4.0",Golor4,62715,211351066,12649,Y,N,N,,,
195,"Leucoagaricus gongylophorus AS2 v1.0",LeugonAS2_1,79220,181804184,13095,Y,N,N,,,
196,"Blumeria graminis f. sp. hordei 5874 v1.0",Bgh5874_1,34373,110355401,7057,Y,N,N,,,
197,"Leucoagaricus gongylophorus AB2 v1.0",Leugon1,79220,72003479,8915,Y,N,N,,,
198,"Erysiphe pisi Palampur-1 v2.0",Erypi2,36044,76364965,7543,Y,N,N,,,
199,"Leucoagaricus gongylophorus AL2 v1.0",LeugonAL2_1,79220,83255231,11694,Y,N,N,,,
200,"Phyllosticta capitalensis CBS 117118 v1.0",Phcap1,121624,33036347,10926,Y,N,N,,,
201,"Phyllosticta capitalensis CBS 356.52 v1.0",Phcapi1,121624,32767725,10910,Y,N,N,,,
202,"Phyllosticta capitalensis CBS 123374 v1.0",Pcapi1,121624,32816367,11105,Y,N,N,,,
203,"Suillus placidus S07 v1.0",Suiplac1,48579,45943075,14550,Y,N,N,,,
204,"Mortierella wolfii NRRL 6351 v1.0",Morwol1,90253,36602364,10038,Y,N,N,,,
205,"Scheffersomyces segobiensis NRRL Y-11571T v1.0",Schseg1_1,45512,14996242,5935,Y,N,N,,,
206,"Suillus plorans S12 v1.0",Suiplo1,116603,51861001,16402,Y,N,N,,,
207,"Suillus cf. variegatus FC465 v1.0",Suivari1,48592,52286509,16059,Y,N,N,,,
208,"Mortierella ambigua NRRL 28271 v1.0",Moramb1,1343610,39110494,10759,Y,N,N,,,
209,"Phycomyces blakesleeanus UBC21 v2.0",PhyblU21_2,4837,56670412,12840,Y,N,N,,,
210,"Filobasidium floriforme CBS 6241 v1.0",Filflo1,5210,27469088,8319,Y,N,N,,,
211,"Aspergillus assulatus CBS 27911 v1.0",Aspass1,1245746,30732071,10548,Y,N,N,,,
212,"Aspergillus tanneri DTO 303-18 v1.0",Asptan1,1220188,37353086,12392,Y,N,N,,,
213,"Aspergillus californicus CBS 123895 v1.0",Aspcalif1,1810905,36744266,13881,Y,N,N,,,
214,"Aspergillus heterothallicus CBS 489.65 v1.0",Asphethal1,41742,37429956,13761,Y,N,N,,,
215,"Aspergillus laciniosus CBS 117721 v1.0",Asplaci1,388753,33457904,11759,Y,N,N,,,
216,"Aspergillus botucatensis CBS 114221 v1.0",Aspbot1,1907480,34492499,11812,Y,N,N,,,
217,"Aspergillus germanicus CBS 123887 v1.0",Aspger1,1506149,39479152,14761,Y,N,N,,,
218,"Aspergillus keveii CBS 209.92 v1.0",Aspkev1,714993,41415647,15687,Y,N,N,,,
219,"Aspergillus pseudoterreus DTO 47-E6 v1.0",Asppterr1,1565506,29544707,11237,Y,N,N,,,
220,"Aspergillus sublatus IBT 19356 v1.0",Aspsublat1,1810927,31201551,11016,Y,N,N,,,
221,"Aspergillus aureoluteus CBS 105.55 v1.0",Aspaurlut1,5052,33749143,10768,Y,N,N,,,
222,"Aspergillus iizukae CBS 541.69 v1.0",Aspiiz1,41901,32658954,12279,Y,N,N,,,
223,"Aspergillus arxii CBS 52583 v1.0",Asparx1,1131534,27919226,10666,Y,N,N,,,
224,"Aspergillus neoindicus CBS 444.75 v1.0",Aspneoi1,1641034,30897550,11849,Y,N,N,,,
225,"Aspergillus coreanus CBS 117059 v1.0",Aspcorea1,151553,31295293,10893,Y,N,N,,,
226,"Aspergillus insuetus CBS 107.25 v1.0",Aspins1,469274,40452873,15211,Y,N,N,,,
227,"Aspergillus neoflavipes CBS 260.73 v1.0",Aspneof1,1588043,34015292,12734,Y,N,N,,,
228,"Aspergillus brevipes CBS 118.53 v1.0",Aspbre1,75551,30071435,10475,Y,N,N,,,
229,"Aspergillus ferenczii CBS 121594 v1.0",Aspfer1,454254,26938309,10035,Y,N,N,,,
230,"Aspergillus rambellii 100887 v1.0",Aspramb1,308745,27025887,9133,Y,N,N,,,
231,"Aspergillus paleaceus CBS 498.65 v1.0",Asppal1_1,5052,28803558,9845,Y,N,N,,,
232,"Aspergillus igneus CBS 466.65 v1.0",Aspign1,5052,33547489,11877,Y,N,N,,,
233,"Aspergillus galapagensis CBS 117522 v1.0",Aspgal1,1907209,29972746,11453,Y,N,N,,,
234,"Aspergillus quadrilineatus (floriformis) CBS 937.73 v1.0",Aspquaf1,41735,32523387,11243,Y,N,N,,,
235,"Aspergillus quadrilineatus (gemmatus) CBS 853.96 v1.0",Aspquag1,41735,32622438,11247,Y,N,N,,,
236,"Aspergillus turcosus IBT 27921 v1.0",Asptur1,1245748,30103609,10906,Y,N,N,,,
237,"Aspergillus hiratsukae CBS 294.93 v1.0",Asphir1,1194566,29263246,10825,Y,N,N,,,
238,"Aspergillus fumigatiaffinis CBS 117186 v1.0",Aspfumig1,340414,33218226,11917,Y,N,N,,,
239,"Aspergillus primulinus CBS 253.94 v1.0",Asppri1,91491,29599833,9967,Y,N,N,,,
240,"Aspergillus fumisynnematus IBT 28474 v1.0",Aspfumis1,286432,32126662,11626,Y,N,N,,,
241,"Aspergillus lentulus CBS 117885 v1.0",Asplen1,293939,30572422,11171,Y,N,N,,,
242,"Aspergillus floccosus CBS 116.37 v1.0",Aspflo1,658358,30552350,11810,Y,N,N,,,
243,"Aspergillus papuensis CBS 841.96 v1.0",Asppap1,1825619,31205458,11780,Y,N,N,,,
244,"Aspergillus caninus CBS 128032 v1.0",Aspcanin1,743110,24260488,9969,Y,N,N,,,
245,"Sarocladium strictum UNK v1.0",Sarstr1,5046,35681598,13206,Y,N,N,,,
246,"Aspergillus flavipes CBS 22552 v1.0",Aspfla1,41900,35257526,13390,Y,N,N,,,
247,"Aspergillus biplanus CBS 468.65 v1.0",Aspbip1,176164,42030724,15330,Y,N,N,,,
248,"Aspergillus frequens CBS 586.65 v1.0",Aspfre1,1458900,33664157,12444,Y,N,N,,,
249,"Aspergillus chrysellus CBS 472.65 v1.0",Aspchr1,36636,37957915,12926,Y,N,N,,,
250,"Aspergillus amoeneus CBS 111.32 v1.0",Aspamoe1,1220191,33399842,13460,Y,N,N,,,
251,"Aspergillus flocculosus v1.0",Aspfloc1,306089,34735525,12432,Y,N,N,,,
252,"Aspergillus spinosus CBS 483.65 v1.0",Aspspi1,36631,34181699,11801,Y,N,N,,,
253,"Aspergillus fructiculosus v1.0",Aspfru1,1250369,34337063,11612,Y,N,N,,,
254,"Aspergillus alliaceus CBS 536.65 v1.0",Aspalli1,209559,40168528,13099,Y,Y,N,,"Kjærbølling I et al.,2020","32107379"
255,"Aspergillus spathulatus CBS 408.89 v1.0",Aspspa1,41052,30090286,9719,Y,N,N,,,
256,"Aspergillus pseudodeflectus v1.0",Asppdef1,176178,39072803,14450,Y,N,N,,,
257,"Aspergillus duricaulis CBS 481.65 v1.0",Aspdur1,75552,30322558,10468,Y,N,N,,,
258,"Aspergillus capensis CBS 138188 v1.0",Aspcap1,1507544,32934471,11706,Y,N,N,,,
259,"Aspergillus nishimurae IFM 54133 v1.0",Aspnis1,1220166,30189492,9648,Y,N,N,,,
260,"Aspergillus alabamensis v1.0",Aspala1,657433,31994729,11841,Y,N,N,,,
261,"Aspergillus allahabadii v1.0",Aspall1,1612426,29783189,11228,Y,N,N,,,
262,"Aspergillus crustosus CBS 478.65 v1.0",Aspcru1,41757,37360539,12063,Y,N,N,,,
263,"Aspergillus lucknowensis CBS 449.75 v1.0",Aspluc1,176173,30792796,11541,Y,N,N,,,
